Industry_Name,Number_of_Firms,CAGR_in_Net_Income_Last_5_years,CAGR_in_Revenues_Last_5_years,Expected_growth_in_Revenues_Next_2_years,Expected_Growth_in_EPS_Next_5_years,Gross_Margin,Net_Margin,EBITDA_Sales,Current_PE,PEG_Ratio,ROE_unadjusted
Advertising,49,0.10708,0.0713157894736842,0.233493333333333,0.1782,0.262,0.031,0.1224,54.99,0.9,0.201829751281049
Aerospace/Defense,73,0.054805,0.0493975609756098,0.268462432432432,0.102531818181818,0.1687,0.0341,0.0928,35.9,2.18,0.0908756630874601
Air Transport,21,-0.32732,-0.0699583333333333,0.525928571428571,0.456,0.0141,-0.0766,-0.2857,7.47,2.19,-0.272830174749764
Apparel,39,0.038212,0.061162,0.1609412,0.268357142857143,0.5304,0.0706,0.0831,28.61,0.69,0.207837276431513
Auto & Truck,26,0.08502,0.119371428571429,1.60600909090909,0.0467142857142857,0.1425,0.0396,0.0676,996.16,13.94,0.13682546123827
Auto Parts,38,0.0553,0.0610780769230769,0.184628,0.454846153846154,0.1558,0.0134,0.075,397.01,0.41,0.0671700049616736
Bank (Money Center),7,0.1172,0.0461333333333333,0.014662,0.1392,1,0.3261,0,21.4,0.68,0.149690208434703
Banks (Regional),563,0.206950442890443,0.117390046189376,0.0725571836734694,0.131033333333333,0.9983,0.3131,0,37.18,0.97,0.125341506497339
Beverage (Alcoholic),21,0.00678333333333333,0.1456875,0.130185714285714,0.08112,0.4799,0.0507,0.2727,38.92,6.47,0.0438548686774913
Beverage (Soft),32,0.17906,0.204723333333333,0.22314,0.11396,0.5527,0.1447,0.2149,106.96,2.63,0.327976796941048
Broadcasting,28,0.203146153846154,0.0964426315789474,0.145564705882353,1.64516,0.4522,0.104,0.2468,7.05,0.05,0.19346849945338
Brokerage & Investment Banking,31,0.415058823529412,0.179595454545455,0.107177777777778,0.240316666666667,0.6946,0.2034,0.0094,108.53,0.46,0.216106449265429
Building Materials,44,0.151588260869565,0.0845433333333333,0.196009375,0.179029166666667,0.2832,0.084,0.1144,34.82,1.19,0.312617994093585
Business & Consumer Services,160,0.1336,0.053889358974359,0.155952702702703,0.212481818181818,0.318,0.0497,0.1227,316.73,1.37,0.136735526548494
Cable TV,11,0.07805,0.1741875,0.783958888888889,0.182814285714286,0.5739,0.1124,0.2918,64.42,0.99,0.163839017735334
Chemical (Basic),35,0.15505,0.20387,0.164316666666667,0.378857142857143,0.2038,0.1143,0.0998,34.82,0.19,0.472420607265514
Chemical (Diversified),4,0.2625,0.0805625,0.195666666666667,0.421,0.2105,0.0809,0.0952,16.16,0.26,0.281156576190327
Chemical (Specialty),81,0.0922430303030303,0.0793447058823529,0.183266666666667,0.132422222222222,0.3425,0.1153,0.1716,61.46,1.74,0.159965982944503
Coal & Related Energy,18,0.0814,-0.218442857142857,2.1920875,NULL,0.1854,-0.0514,0.0597,13.31,NULL,-0.143981626338479
Computer Services,83,0.176304347826087,0.0887145238095238,0.113207407407407,0.16145,0.2724,0.0342,0.1033,50.64,1.63,0.146109783992669
Computers/Peripherals,46,0.108327272727273,0.166779230769231,0.137802083333333,0.13685,0.3688,0.1872,0.2395,54.17,1.95,0.0060787749754526
Construction Supplies,48,0.129126923076923,0.0627641176470588,1.4628625,0.2965,0.2273,0.0792,0.1289,29.1,0.72,0.171673315234067
Diversified,22,0.12114,0.00279,0.410671111111111,0.08394,0.3691,0.2258,0.236,32.54,1.19,0.199159205204454
Drugs (Biotechnology),581,0.0569636363636364,0.308573046357616,1.14725516806723,0.11173625,0.6225,-0.0062,0.1705,178.83,1.65,-0.00764356409245026
Drugs (Pharmaceutical),298,0.20709,0.428481285714286,1.49801490909091,0.102465,0.6735,0.1103,0.2756,77.97,2.42,0.145542937542781
Education,35,0.0892555555555555,0.00810421052631579,0.11535625,0.133583333333333,0.479,0.0717,0.1049,34.49,1.11,0.0861050436871775
Electrical Equipment,104,0.117171428571429,0.0583578,1.03370425531915,0.149409090909091,0.3353,0.0726,0.1489,82.37,1.81,0.16796511086558
Electronics (Consumer & Office),16,0.0875,0.014991,0.172071666666667,-0.0463333333333333,0.3241,0.0708,0.0663,47.37,NULL,0.435742003321344
Electronics (General),137,0.2004775,0.0841353409090909,0.501836031746032,0.196293939393939,0.284,0.0702,0.1283,104.99,1.51,0.147238471933731
Engineering/Construction,48,0.28063125,0.0882803703703704,0.23355,0.186611111111111,0.1345,0.0181,0.0689,71.19,1.74,0.0648440239957207
Entertainment,108,0.217463636363636,0.226133333333333,0.464430303030303,0.223785714285714,0.4194,0.0386,0.1167,177.56,2.76,0.0427600272638973
